순번,국립공원,사무소,관리지구,탐방지역,일자,전체 탐방객수
167,설악산,설악산,백담지구,백담,2018.1.14,122
168,설악산,설악산,점봉산,점봉산(곰배령),2018.1.14,226
169,설악산,설악산,설악동,설악동,2018.1.15,2246
170,설악산,설악산,설악동,설악동 야영장,2018.1.15,0
171,설악산,설악산,설악동,설악동 탐방안내소,2018.1.15,0
172,설악산,설악산,오색지구,남설악,2018.1.15,30
173,설악산,설악산,오색지구,약수터입구,2018.1.15,179
174,설악산,설악산,오색지구,용소폭포,2018.1.15,21
175,설악산,설악산,오색지구,흘림골,2018.1.15,0
176,설악산,설악산,장수대지구,장수대,2018.1.15,7
177,설악산,설악산,장수대지구,한계령,2018.1.15,43
178,설악산,설악산,백담지구,남교리,2018.1.15,7
179,설악산,설악산,백담지구,백담,2018.1.15,53
180,설악산,설악산,점봉산,점봉산(곰배령),2018.1.15,0
181,설악산,설악산,설악동,설악동,2018.1.16,2933
182,설악산,설악산,설악동,설악동 야영장,2018.1.16,3
183,설악산,설악산,설악동,설악동 탐방안내소,2018.1.16,0
184,설악산,설악산,오색지구,남설악,2018.1.16,60
185,설악산,설악산,오색지구,약수터입구,2018.1.16,85
186,설악산,설악산,오색지구,용소폭포,2018.1.16,22
187,설악산,설악산,오색지구,흘림골,2018.1.16,0
188,설악산,설악산,장수대지구,장수대,2018.1.16,0
189,설악산,설악산,장수대지구,한계령,2018.1.16,29
190,설악산,설악산,백담지구,남교리,2018.1.16,9
191,설악산,설악산,백담지구,백담,2018.1.16,51
192,설악산,설악산,점봉산,점봉산(곰배령),2018.1.16,0
193,설악산,설악산,설악동,설악동,2018.1.17,2711
194,설악산,설악산,설악동,설악동 야영장,2018.1.17,18
195,설악산,설악산,설악동,설악동 탐방안내소,2018.1.17,0
196,설악산,설악산,오색지구,남설악,2018.1.17,48
197,설악산,설악산,오색지구,약수터입구,2018.1.17,162
198,설악산,설악산,오색지구,용소폭포,2018.1.17,20
199,설악산,설악산,오색지구,흘림골,2018.1.17,0
200,설악산,설악산,장수대지구,장수대,2018.1.17,34
201,설악산,설악산,장수대지구,한계령,2018.1.17,49
202,설악산,설악산,백담지구,남교리,2018.1.17,43
203,설악산,설악산,백담지구,백담,2018.1.17,123
204,설악산,설악산,점봉산,점봉산(곰배령),2018.1.17,14
205,설악산,설악산,설악동,설악동,2018.1.18,4028
206,설악산,설악산,설악동,설악동 야영장,2018.1.18,24
207,설악산,설악산,설악동,설악동 탐방안내소,2018.1.18,0
208,설악산,설악산,오색지구,남설악,2018.1.18,7
209,설악산,설악산,오색지구,약수터입구,2018.1.18,120
210,설악산,설악산,오색지구,용소폭포,2018.1.18,8
211,설악산,설악산,오색지구,흘림골,2018.1.18,0
212,설악산,설악산,장수대지구,장수대,2018.1.18,3
213,설악산,설악산,장수대지구,한계령,2018.1.18,34
214,설악산,설악산,백담지구,남교리,2018.1.18,9
215,설악산,설악산,백담지구,백담,2018.1.18,42
216,설악산,설악산,점봉산,점봉산(곰배령),2018.1.18,5
217,설악산,설악산,설악동,설악동,2018.1.19,4618
218,설악산,설악산,설악동,설악동 야영장,2018.1.19,24
219,설악산,설악산,설악동,설악동 탐방안내소,2018.1.19,0
220,설악산,설악산,오색지구,남설악,2018.1.19,62
221,설악산,설악산,오색지구,약수터입구,2018.1.19,185
222,설악산,설악산,오색지구,용소폭포,2018.1.19,30
223,설악산,설악산,오색지구,흘림골,2018.1.19,0
224,설악산,설악산,장수대지구,장수대,2018.1.19,5
225,설악산,설악산,장수대지구,한계령,2018.1.19,119
226,설악산,설악산,백담지구,남교리,2018.1.19,18
227,설악산,설악산,백담지구,백담,2018.1.19,66
228,설악산,설악산,점봉산,점봉산(곰배령),2018.1.19,55
229,설악산,설악산,설악동,설악동,2018.1.20,6116
