"	90",속초,2017.8.28,4.1,3.1,19:00
"	90",속초,2017.8.29,,,
"	90",속초,2017.8.30,,,
"	90",속초,2017.8.31,,,
"	90",속초,2017.9.1,,,
"	90",속초,2017.9.2,,,
"	90",속초,2017.9.3,,,
"	90",속초,2017.9.4,,,
"	90",속초,2017.9.5,,,
"	90",속초,2017.9.6,0,0,
"	90",속초,2017.9.7,,,
"	90",속초,2017.9.8,,,
"	90",속초,2017.9.9,,,
"	90",속초,2017.9.10,,,
"	90",속초,2017.9.11,13.1,3.5,5:01
"	90",속초,2017.9.12,,,
"	90",속초,2017.9.13,,,
"	90",속초,2017.9.14,,,
"	90",속초,2017.9.15,0,0,
"	90",속초,2017.9.16,0,0,
"	90",속초,2017.9.17,5.1,2.2,17:53
"	90",속초,2017.9.18,,,
"	90",속초,2017.9.19,28.8,24.1,16:00
"	90",속초,2017.9.20,,,
"	90",속초,2017.9.21,,,
"	90",속초,2017.9.22,,,
"	90",속초,2017.9.23,,,
"	90",속초,2017.9.24,0,,
"	90",속초,2017.9.25,,,
"	90",속초,2017.9.26,,,
"	90",속초,2017.9.27,2.1,1.1,12:39
"	90",속초,2017.9.28,1.4,0.8,0:29
"	90",속초,2017.9.29,,,
"	90",속초,2017.9.30,,,
"	90",속초,2017.10.1,0,0,
"	90",속초,2017.10.2,0,0,
"	90",속초,2017.10.3,4.6,1.8,9:25
"	90",속초,2017.10.4,0,0,
"	90",속초,2017.10.5,,,
"	90",속초,2017.10.6,14.8,3.5,15:12
"	90",속초,2017.10.7,0.2,0.1,
"	90",속초,2017.10.8,,,
"	90",속초,2017.10.9,,,
"	90",속초,2017.10.10,38.8,10.3,10:35
"	90",속초,2017.10.11,36.5,9.8,3:11
"	90",속초,2017.10.12,0,0,
"	90",속초,2017.10.13,,,
"	90",속초,2017.10.14,,,
"	90",속초,2017.10.15,,,
"	90",속초,2017.10.16,,,
"	90",속초,2017.10.17,0,0,
"	90",속초,2017.10.18,0,0,
"	90",속초,2017.10.19,,,
"	90",속초,2017.10.20,,,
"	90",속초,2017.10.21,,,
"	90",속초,2017.10.22,3.2,3.1,8:39
"	90",속초,2017.10.23,,,
"	90",속초,2017.10.24,,,
"	90",속초,2017.10.25,,,
"	90",속초,2017.10.26,,,
"	90",속초,2017.10.27,,,
"	90",속초,2017.10.28,,,
"	90",속초,2017.10.29,37.3,20.3,18:35
"	90",속초,2017.10.30,,,
"	90",속초,2017.10.31,,,
"	90",속초,2017.11.1,,,
"	90",속초,2017.11.2,,,
"	90",속초,2017.11.3,20.9,,
"	90",속초,2017.11.4,18.1,,
"	90",속초,2017.11.5,,,
"	90",속초,2017.11.6,,,
"	90",속초,2017.11.7,,,
"	90",속초,2017.11.8,,,
"	90",속초,2017.11.9,,,
"	90",속초,2017.11.10,1.1,,
"	90",속초,2017.11.11,,,
"	90",속초,2017.11.12,,,
"	90",속초,2017.11.13,,,
"	90",속초,2017.11.14,,,
"	90",속초,2017.11.15,,,
"	90",속초,2017.11.16,,,
"	90",속초,2017.11.17,,,
"	90",속초,2017.11.18,,,
"	90",속초,2017.11.19,,,
"	90",속초,2017.11.20,,,
"	90",속초,2017.11.21,,,
"	90",속초,2017.11.22,0,,
"	90",속초,2017.11.23,,,
"	90",속초,2017.11.24,,,
"	90",속초,2017.11.25,1.1,,
"	90",속초,2017.11.26,,,
